minute,total_people,average_fixation
1,15,34.747
2,15,33.09206667
3,15,30.58233333
4,15,33.68326667
5,15,35.1198
6,14,37.04471429
7,14,32.40764286
8,14,33.45257143
9,15,29.33726667
10,15,29.61653333
11,13,33.87961538
12,13,30.84261538
13,11,30.392
14,10,30.8225
15,10,29.9337
16,10,26.7661
17,9,31.81222222
18,9,31.07933333
19,9,29.70933333
20,9,31.24033333
21,9,32.16033333
22,9,28.92633333
23,9,31.85977778
24,9,30.59611111
25,9,31.14877778
26,8,33.9735
27,8,31.740625
28,6,37.11283333
29,5,37.2004
30,4,29.03125
31,3,27.828
32,3,32.86633333
33,3,20.95366667
34,2,41.277
35,2,42.127
36,2,33.593
37,2,36.401
38,2,40.214
39,2,38.7335
40,2,40.6475
41,2,39.598
42,2,41.051
43,2,27.034
44,2,23.1095
45,1,35.039
46,1,37.596
47,1,16.791
48,1,16.298
49,1,9.964