minute,numOfUsers,fixationTime
1,16,34.2588125
2,16,34.0346875
3,16,31.0148125
4,16,32.2051875
5,16,29.791625
6,16,31.9078125
7,16,27.9080625
8,15,27.10626667
9,15,30.0172
10,15,28.29746667
11,14,29.73928571
12,14,27.91514286
13,15,27.93386667
14,15,29.72026667
15,14,32.308
16,14,31.55985714
17,13,30.93153846
18,13,27.48669231
19,13,26.69746154
20,13,28.11023077
21,13,29.18723077
22,12,31.66683333
23,12,26.26391667
24,11,24.96327273
25,11,28.31281818
26,11,25.67672727
27,11,28.90381818
28,10,29.3165
29,8,30.520625
30,8,33.418375
31,8,29.886375
32,9,24.18844444
33,9,21.92988889
34,9,21.14022222
35,8,25.248625
36,8,27.584
37,8,27.69175
38,8,28.570875
39,7,27.25571429
40,6,27.801
41,5,29.979
42,5,28.6842
43,5,24.9614
44,4,31.9625
45,4,28.75475
46,4,33.9565
47,4,32.927
48,4,34.812
49,4,32.7385
50,3,33.01033333
51,3,17.26
52,2,25.037
53,2,23.9615
54,2,27.882
55,2,33.7375
56,2,37.018
57,2,36.3705
58,2,25.938
59,2,27.717
60,1,45.813
61,1,46.8
62,1,46.089
63,1,38.32
64,1,46.217
65,1,34.612
66,1,27.648
67,1,33.651
68,1,39.743
69,1,44.106
70,1,36.615
71,1,45.946
72,1,45.426
73,1,6.354