ID,Ontologies,Visualization,Task_Success,Time_On_Task
p1,1,1,0.608695652,26
p1,2,2,0.52173913,38
p3,1,1,0.47826087,10
p3,2,2,0.391304348,50
p5,1,1,0.52173913,22
p5,2,2,0.434782609,27
p7,1,1,0.565217391,16
p7,2,2,0.086956522,20
p11,1,1,0.47826087,15
p11,2,2,0.347826087,33
p13,1,1,0.434782609,35
p13,2,2,0.391304348,27
p15,1,1,0.52173913,9
p15,2,2,0.565217391,13
p17,1,1,0.434782609,14
p17,2,2,0.608695652,22
p19,1,1,0.565217391,14
p19,2,2,0.434782609,72
p21,1,1,0.434782609,16
p21,2,2,0.565217391,6
p23,1,1,0.565217391,13
p23,2,2,0.391304348,58
p25,1,1,0.565217391,34
p25,2,2,0.347826087,39
p27,1,1,0.260869565,13
p27,2,2,0.086956522,50
p31,1,1,0.391304348,14
p31,2,2,0.52173913,44
p33,1,1,0.47826087,22
p33,2,2,0.347826087,27
p35,1,1,0.608695652,9
p35,2,2,0.47826087,37
p2,1,2,0.347826087,19
p2,2,1,0.391304348,25
p4,1,2,0.391304348,12
p4,2,1,0.52173913,9
p6,1,2,0.869565217,26
p6,2,1,0.739130435,43
p10,1,2,0.608695652,17
p10,2,1,0.47826087,29
p12,1,2,0.304347826,17
p12,2,1,0.695652174,11
p14,1,2,0.52173913,15
p14,2,1,0.217391304,28
p16,1,2,0.52173913,28
p16,2,1,0.47826087,29
p18,1,2,0.739130435,21
p18,2,1,0.565217391,27
p20,1,2,0.391304348,30
p20,2,1,0.434782609,23
p24,1,2,0.565217391,32
p24,2,1,0.739130435,25
p28,1,2,0.52173913,10
p28,2,1,0.52173913,13
p30,1,2,0.391304348,23
p30,2,1,0.47826087,32
p32,1,2,0.304347826,21
p32,2,1,0.347826087,12
p34,1,2,0.608695652,38
p34,2,1,0.565217391,49
p36,1,2,0.434782609,21
p36,2,1,0.52173913,15